# winemetal dispatch slot	metal4 disposition	note
#
# Describes research/dxmt at the revision this tree records: b4b89f0a5a1752da3982a7b6c5575506024bf253
# (WMT_API_COUNT = 127). That header is generated from the winemetal unix-call table,
# so it is the exact Metal surface DXMT can reach -- and therefore the exact surface a
# Metal 4 port has to account for.
#
# tools/metal4-inventory.py fails if this map and that header disagree, and if the
# recorded submodule revision moves. Re-classify when either happens.
#
# Dispositions:
#   mtl4-core      creates/submits/encodes work -> MTL4CommandQueue/Buffer/Allocator/Encoder
#   mtl4-bind      resource binding -> MTL4ArgumentTable (buffers by gpuAddress, textures by gpuResourceID)
#   mtl4-compile   pipeline/library creation -> MTL4Compiler
#   shared         same object and selector in Metal 4, keep unchanged
#   dxmt-internal  not Metal: airconv thunks, DXMT caches, HUD, remote-metal guest helpers
#   host-only      macOS-host remote-metal path, not on the iOS device path
NSObject_retain	shared	
NSObject_release	shared	
NSArray_object	shared	
NSArray_count	shared	
MTLCopyAllDevices	shared	MTL4 has no device object; MTL4CommandQueue/Buffer/Allocator come from this MTLDevice
MTLDevice_recommendedMaxWorkingSetSize	shared	
MTLDevice_currentAllocatedSize	shared	
MTLDevice_name	shared	
NSString_getCString	shared	
MTLDevice_newCommandQueue	mtl4-core	MTLDevice -> MTL4CommandQueue (makeCommandQueue(descriptor: MTL4CommandQueueDescriptor))
NSAutoreleasePool_alloc_init	shared	
MTLCommandQueue_commandBuffer	mtl4-core	buffer no longer comes from the queue: MTL4CommandBuffer from MTLDevice + MTL4CommandAllocator
MTLCommandBuffer_commit	mtl4-core	MTL4CommandQueue commit:count: (batch submit, replaces per-buffer commit)
MTLCommandBuffer_waitUntilCompleted	mtl4-core	MTL4CommitFeedback / completion handler; no per-buffer waitUntilCompleted
MTLCommandBuffer_status	mtl4-core	MTL4CommitFeedback / MTL4CommitOptions describe completion instead
MTLDevice_newSharedEvent	shared	
MTLSharedEvent_signaledValue	shared	
MTLCommandBuffer_encodeSignalEvent	mtl4-core	queue-level signal on MTL4CommandQueue, not per-buffer encodeSignalEvent
